text{ key = "items.ice_seed.description", value = "Creates ice" }
text{ key = "items.ice_seed.name", value = "Ice seed" }
text{ key = "items.rock_feather.description", value = "Allows you to jump" }
text{ key = "items.rock_feather.name", value = "Rock Feather" }
text{ key = "menus.quest.qheart.description", value = "Collect 4 to get an additional heart !" }
text{ key = "menus.quest.qheart.name", value = "Heart quarter" }
text{ key = "menus.quest.save.description", value = "Save the game" }
text{ key = "menus.quest.save.name", value = "Save" }
text{ key = "menus.quest.settings.description", value = "Change the settings of the game" }
text{ key = "menus.quest.settings.name", value = "Settings" }
