properties{
  x = 0,
  y = 0,
  width = 160,
  height = 128,
  min_layer = 0,
  max_layer = 2,
  tileset = "war_world",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 160,
  height = 128,
  pattern = "1",
}

tile{
  layer = 0,
  x = 16,
  y = 8,
  width = 32,
  height = 8,
  pattern = "216_7",
}

tile{
  layer = 0,
  x = 112,
  y = 8,
  width = 32,
  height = 8,
  pattern = "216_7",
}

tile{
  layer = 0,
  x = 144,
  y = 8,
  width = 8,
  height = 8,
  pattern = "114",
}

tile{
  layer = 0,
  x = 8,
  y = 8,
  width = 8,
  height = 8,
  pattern = "120",
}

tile{
  layer = 0,
  x = 8,
  y = 16,
  width = 8,
  height = 112,
  pattern = "218_14",
}

tile{
  layer = 0,
  x = 144,
  y = 16,
  width = 8,
  height = 112,
  pattern = "218_15",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 8,
  height = 8,
  pattern = "85_13",
}

tile{
  layer = 0,
  x = 152,
  y = 0,
  width = 8,
  height = 8,
  pattern = "85_18",
}

tile{
  layer = 0,
  x = 8,
  y = 0,
  width = 40,
  height = 8,
  pattern = "94",
}

tile{
  layer = 0,
  x = 0,
  y = 8,
  width = 8,
  height = 120,
  pattern = "93",
}

tile{
  layer = 0,
  x = 112,
  y = 0,
  width = 40,
  height = 8,
  pattern = "94",
}

tile{
  layer = 0,
  x = 152,
  y = 8,
  width = 8,
  height = 120,
  pattern = "93",
}

tile{
  layer = 0,
  x = 112,
  y = 112,
  width = 16,
  height = 16,
  pattern = "63",
}

tile{
  layer = 0,
  x = 32,
  y = 112,
  width = 16,
  height = 16,
  pattern = "63_5",
}

tile{
  layer = 0,
  x = 128,
  y = 112,
  width = 16,
  height = 16,
  pattern = "63_5",
}

tile{
  layer = 0,
  x = 16,
  y = 112,
  width = 16,
  height = 16,
  pattern = "63",
}

tile{
  layer = 0,
  x = 16,
  y = 16,
  width = 8,
  height = 96,
  pattern = "12",
}

tile{
  layer = 0,
  x = 136,
  y = 16,
  width = 8,
  height = 96,
  pattern = "8",
}

tile{
  layer = 0,
  x = 24,
  y = 64,
  width = 8,
  height = 16,
  pattern = "8_2",
}

tile{
  layer = 0,
  x = 32,
  y = 80,
  width = 16,
  height = 8,
  pattern = "6_2",
}

tile{
  layer = 0,
  x = 40,
  y = 80,
  width = 8,
  height = 8,
  pattern = "7_2",
}

tile{
  layer = 0,
  x = 40,
  y = 88,
  width = 8,
  height = 8,
  pattern = "8_2",
}

tile{
  layer = 0,
  x = 48,
  y = 96,
  width = 64,
  height = 8,
  pattern = "6_2",
}

tile{
  layer = 0,
  x = 112,
  y = 80,
  width = 8,
  height = 16,
  pattern = "12_2",
}

tile{
  layer = 0,
  x = 112,
  y = 80,
  width = 8,
  height = 8,
  pattern = "5_2",
}

tile{
  layer = 0,
  x = 128,
  y = 64,
  width = 8,
  height = 16,
  pattern = "12_2",
}

tile{
  layer = 0,
  x = 120,
  y = 80,
  width = 8,
  height = 8,
  pattern = "6_2",
}

tile{
  layer = 0,
  x = 64,
  y = 80,
  width = 16,
  height = 16,
  pattern = "17_2",
}

tile{
  layer = 0,
  x = 80,
  y = 80,
  width = 16,
  height = 16,
  pattern = "17_2",
}

tile{
  layer = 0,
  x = 48,
  y = 80,
  width = 16,
  height = 16,
  pattern = "17",
}

tile{
  layer = 0,
  x = 112,
  y = 64,
  width = 16,
  height = 16,
  pattern = "17",
}

tile{
  layer = 0,
  x = 64,
  y = 64,
  width = 16,
  height = 16,
  pattern = "237",
}

tile{
  layer = 0,
  x = 48,
  y = 64,
  width = 16,
  height = 16,
  pattern = "237",
}

tile{
  layer = 0,
  x = 80,
  y = 64,
  width = 16,
  height = 16,
  pattern = "17_3",
}

tile{
  layer = 0,
  x = 96,
  y = 80,
  width = 16,
  height = 16,
  pattern = "17_3",
}

tile{
  layer = 0,
  x = 32,
  y = 64,
  width = 16,
  height = 16,
  pattern = "17_3",
}

tile{
  layer = 0,
  x = 96,
  y = 64,
  width = 16,
  height = 16,
  pattern = "237",
}

tile{
  layer = 0,
  x = 24,
  y = 16,
  width = 8,
  height = 16,
  pattern = "8_2",
}

tile{
  layer = 0,
  x = 128,
  y = 16,
  width = 8,
  height = 16,
  pattern = "12_2",
}

tile{
  layer = 0,
  x = 32,
  y = 16,
  width = 16,
  height = 16,
  pattern = "5_5",
}

tile{
  layer = 0,
  x = 112,
  y = 16,
  width = 16,
  height = 16,
  pattern = "5_5",
}

tile{
  layer = 0,
  x = 24,
  y = 32,
  width = 8,
  height = 32,
  pattern = "8_2",
}

tile{
  layer = 0,
  x = 128,
  y = 32,
  width = 8,
  height = 32,
  pattern = "12_2",
}

tile{
  layer = 0,
  x = 112,
  y = 32,
  width = 16,
  height = 16,
  pattern = "237",
}

tile{
  layer = 0,
  x = 32,
  y = 48,
  width = 16,
  height = 16,
  pattern = "17",
}

tile{
  layer = 0,
  x = 112,
  y = 48,
  width = 16,
  height = 16,
  pattern = "17_3",
}

tile{
  layer = 0,
  x = 32,
  y = 32,
  width = 16,
  height = 16,
  pattern = "17_3",
}

tile{
  layer = 0,
  x = 48,
  y = 48,
  width = 16,
  height = 16,
  pattern = "17",
}

tile{
  layer = 0,
  x = 96,
  y = 48,
  width = 16,
  height = 16,
  pattern = "17",
}

tile{
  layer = 0,
  x = 96,
  y = 56,
  width = 16,
  height = 24,
  pattern = "3_2",
  tileset = "war_world_annexe",
}

tile{
  layer = 0,
  x = 48,
  y = 56,
  width = 16,
  height = 24,
  pattern = "3_2",
  tileset = "war_world_annexe",
}

tile{
  layer = 0,
  x = 24,
  y = 0,
  width = 112,
  height = 80,
  pattern = "140",
  tileset = "war_world",
}

tile{
  layer = 0,
  x = 64,
  y = 112,
  width = 32,
  height = 16,
  pattern = "17_2",
}

tile{
  layer = 0,
  x = 64,
  y = 104,
  width = 32,
  height = 8,
  pattern = "10_2",
  tileset = "war_world",
}

tile{
  layer = 0,
  x = 56,
  y = 112,
  width = 8,
  height = 16,
  pattern = "8_2",
  tileset = "war_world",
}

tile{
  layer = 0,
  x = 96,
  y = 112,
  width = 8,
  height = 16,
