[0910/194241.460:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0910/210031.726:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[1022/194144.521:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/194149.534:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/194154.549:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/194159.559:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/194204.573:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/194209.588:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/194214.607:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/194219.494:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/194219.535:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/194219.571:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/194219.629:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/194224.520:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/194224.546:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/194224.596:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1022/194224.641:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
